,Nr,Numer losowania,Wylosowane 7 liczb,Data losowania,,,,,
0,206,8,31,34,36,45,8,10,20.08.2021
1,205,4,31,39,43,46,1,4,13.08.2021
2,204,16,19,21,29,36,1,7,06.08.2021
3,203,5,14,39,43,44,1,6,30.07.2021
4,202,13,33,42,48,50,3,9,23.07.2021
5,201,9,14,24,37,39,4,9,16.07.2021
6,200,8,14,15,20,31,8,9,09.07.2021
7,199,4,5,10,25,31,4,6,02.07.2021
8,198,4,17,22,30,47,1,8,25.06.2021
9,197,11,14,44,46,49,7,10,18.06.2021
10,196,8,20,23,48,50,8,9,11.06.2021
11,195,13,17,26,49,50,1,7,04.06.2021
12,194,15,26,35,37,43,3,8,28.05.2021
13,193,2,12,15,33,39,4,9,21.05.2021
14,192,1,15,29,42,50,3,6,14.05.2021
15,191,3,7,19,27,29,7,10,07.05.2021
16,190,23,27,34,40,43,5,7,30.04.2021
17,189,3,6,11,14,49,1,5,23.04.2021
18,188,12,19,20,28,31,6,9,16.04.2021
19,187,11,18,23,29,32,3,7,09.04.2021
20,186,1,3,4,36,43,2,3,02.04.2021
21,185,7,38,41,44,50,1,8,26.03.2021
22,184,3,11,19,34,37,8,9,19.03.2021
23,183,6,11,18,26,34,5,8,12.03.2021
24,182,9,23,34,40,42,1,4,05.03.2021
25,181,3,13,24,29,32,1,7,26.02.2021
26,180,27,35,36,38,41,5,7,19.02.2021
27,179,15,18,24,27,44,2,7,12.02.2021
28,178,2,3,16,33,46,2,10,05.02.2021
29,177,16,30,33,36,43,4,8,29.01.2021
30,176,38,40,41,46,48,2,6,22.01.2021
31,175,10,19,32,36,46,4,6,15.01.2021
32,174,8,22,25,38,50,8,9,08.01.2021
33,173,17,36,38,43,46,4,6,01.01.2021
34,172,7,10,19,26,42,1,9,25.1
35,171,4,17,27,28,50,5,8,18.1
36,170,4,13,15,41,49,1,9,11.1
37,169,1,27,37,40,41,7,10,04.1
38,168,1,2,22,25,30,5,10,27.11
39,167,18,20,34,49,50,7,8,20.11
40,166,5,17,21,37,38,1,4,13.11
41,165,5,12,26,47,50,2,3,06.11
42,164,11,19,24,33,39,1,4,30.1
43,163,17,21,23,37,45,7,9,23.1
44,162,5,11,35,44,50,4,10,16.1
45,161,1,11,17,23,29,1,8,09.1
46,160,15,19,34,39,49,2,7,02.1
47,159,1,7,9,29,46,9,10,25.09
48,158,7,12,14,40,42,7,8,18.09
49,157,2,5,24,43,45,4,10,11.09
50,156,5,23,28,38,49,3,9,04.09
51,155,8,11,22,38,41,4,7,28.08
52,154,26,27,30,46,49,1,2,21.08
53,153,9,20,27,35,48,5,9,14.08
54,152,4,9,15,24,28,2,6,07.08
55,151,3,19,28,43,49,2,3,31.07
56,150,7,11,19,32,43,2,8,24.07
57,149,13,21,25,34,35,5,10,17.07
58,148,5,6,9,15,29,4,9,10.07
59,147,12,34,36,47,48,5,7,03.07
60,146,14,16,32,34,47,7,9,26.06
61,145,2,22,33,38,47,2,9,19.06
62,144,7,16,22,30,48,2,8,12.06
63,143,9,16,17,29,39,1,8,05.06
64,142,8,22,31,32,36,6,10,29.05
65,141,12,15,32,40,45,7,10,22.05
66,140,21,27,29,34,49,8,10,15.05
67,139,9,11,15,36,43,8,9,08.05
68,138,6,11,12,21,41,1,2,01.05
69,137,6,13,15,34,35,1,5,24.04
70,136,1,18,23,33,41,2,6,17.04
71,135,2,7,8,43,50,2,3,10.04
72,134,3,21,26,40,41,8,10,03.04
73,133,13,19,23,34,41,3,8,27.03
74,132,9,14,28,30,37,3,10,20.03
75,131,1,17,29,39,42,7,8,13.03
76,130,15,19,35,36,41,5,10,06.03
77,129,12,22,24,29,38,5,6,28
78,128,2,13,39,45,47,4,6,21
79,127,2,6,30,32,49,1,4,14
80,126,7,16,22,36,44,3,4,07
81,125,1,7,12,23,39,3,4,31.01
82,124,5,12,20,29,48,7,9,24.01
83,123,1,23,32,45,49,5,10,17.01
84,122,4,14,25,34,49,4,9,10.01
85,121,6,27,30,35,41,4,5,03.01
86,120,7,12,28,34,45,3,6,27.12.2019
87,119,12,20,21,22,35,4,10,20.12.2019
88,118,25,31,38,49,50,5,10,13.12.2019
89,117,8,14,23,30,45,1,9,06.12.2019
90,116,2,3,30,31,45,6,8,29.11.2019
91,115,3,12,24,37,38,3,7,22.11.2019
92,114,10,19,24,30,39,2,4,15.11.2019
93,113,14,20,23,39,49,4,10,08.11.2019
94,112,3,17,31,34,40,1,2,01.11.2019
95,111,2,30,34,35,45,1,2,25.10.2019
96,110,6,9,31,43,44,6,9,18.10.2019
97,109,8,12,13,39,44,4,9,11.10.2019
98,108,15,19,20,45,49,7,8,04.10.2019
99,107,21,24,26,34,47,4,6,27.09.2019
100,106,17,21,41,48,49,4,8,20.09.2019
101,105,3,21,22,33,47,2,9,13.09.2019
102,104,21,24,29,30,50,1,5,06.09.2019
103,103,10,18,32,35,46,3,10,30.08.2019
104,102,15,18,19,41,42,4,6,23.08.2019
105,101,7,20,35,42,44,3,7,16.08.2019
106,100,2,4,20,21,49,9,10,09.08.2019
107,99,6,11,38,41,44,9,10,02.08.2019
108,98,3,8,30,46,48,1,3,26.07.2019
109,97,31,32,45,47,49,7,9,19.07.2019
110,96,31,36,40,42,45,7,9,12.07.2019
111,95,1,15,34,48,50,6,10,05.07.2019
112,94,18,25,26,35,38,5,6,28.06.2019
113,93,20,27,37,41,45,1,7,21.06.2019
114,92,8,23,40,41,42,2,10,14.06.2019
115,91,7,8,20,35,38,5,9,07.06.2019
116,90,10,12,35,36,43,2,5,31.05.2019
117,89,8,26,38,47,50,3,7,24.05.2019
118,88,20,27,33,35,46,5,9,17.05.2019
119,87,5,7,15,19,29,3,8,10.05.2019
120,86,3,9,10,19,42,1,7,03.05.2019
121,85,1,6,11,17,38,4,8,26.04.2019
122,84,18,21,37,43,47,1,3,19.04.2019
123,83,14,16,21,30,37,4,8,12.04.2019
124,82,22,31,43,44,50,1,9,05.04.2019
125,81,4,9,15,24,42,8,9,29.03.2019
126,80,15,20,24,44,49,7,9,22.03.2019
127,79,1,2,11,19,47,2,7,15.03.2019
128,78,4,29,30,31,45,1,7,08.03.2019
129,77,7,16,18,19,24,1,6,01.03.2019
130,76,14,16,21,25,26,8,10,22.02.2019
131,75,1,24,30,31,47,7,9,15.02.2019
132,74,5,8,21,24,26,4,5,08.02.2019
133,73,6,29,38,45,47,2,3,01.02.2019
134,72,24,25,28,35,48,4,8,25.01.2019
135,71,2,9,23,36,47,2,9,18.01.2019
136,70,6,12,35,39,49,4,9,11.01.2019
137,69,3,10,25,32,43,1,3,04.01.2019
138,68,19,24,31,38,40,7,10,28.12.2018
139,67,3,16,20,34,49,2,10,21.12.2018
140,66,4,14,24,26,30,9,10,14.12.2018
141,65,4,16,21,31,42,4,6,07.12.2018
142,64,18,22,35,36,41,3,4,30.11.2018
143,63,17,22,28,31,46,5,10,23.11.2018
144,62,13,15,18,39,45,5,6,16.11.2018
145,61,8,32,34,46,49,3,5,09.11.2018
146,60,5,17,27,33,42,9,10,02.11.2018
147,59,18,19,33,38,44,4,10,26.10.2018
148,58,9,12,28,32,48,7,8,19.10.2018
149,57,6,26,31,42,50,2,9,12.10.2018
150,56,12,15,32,44,49,5,7,05.10.2018
151,55,3,8,13,18,40,6,10,28.09.2018
152,54,5,8,16,42,46,2,10,21.09.2018
153,53,24,33,35,46,49,5,9,14.09.2018
154,52,4,7,28,36,43,1,6,07.09.2018
155,51,3,6,9,18,24,2,7,31.08.2018
156,50,8,25,26,38,48,6,9,24.08.2018
157,49,2,12,32,43,44,3,4,17.08.2018
158,48,4,15,17,21,23,6,7,10.08.2018
159,47,4,8,12,25,31,7,8,03.08.2018
160,46,2,22,40,43,50,3,8,27.07.2018
161,45,13,33,40,42,43,7,9,20.07.2018
162,44,13,14,21,34,46,2,5,13.07.2018
163,43,2,7,24,38,45,5,8,06.07.2018
164,42,9,18,30,47,48,4,6,29.06.2018
165,41,16,24,33,35,43,6,7,22.06.2018
166,40,1,5,7,9,21,3,10,15.06.2018
167,39,5,13,22,36,39,9,10,08.06.2018
168,38,14,19,21,30,32,4,7,01.06.2018
169,37,15,31,35,40,46,3,8,25.05.2018
170,36,1,11,23,41,44,2,8,18.05.2018
171,35,3,14,17,37,39,5,10,11.05.2018
172,34,24,26,29,36,49,3,6,04.05.2018
173,33,9,21,31,32,33,9,10,27.04.2018
174,32,22,24,25,28,46,2,4,20.04.2018
175,31,3,10,21,25,34,7,10,13.04.2018
176,30,6,8,16,23,50,4,8,06.04.2018
177,29,5,15,17,29,32,5,7,30.03.2018
